,broad_category,Prod,national_estimate,avg_Severity
0,child nursery equipment and supplies,ATTACHABLE HIGH CHAIRS (INCL. BOOSTER SE,407,0.0
1,child nursery equipment and supplies,BABY BATHS OR BATHINETTES,251,0.0
2,child nursery equipment and supplies,BABY BATHTUB SEATS OR RINGS (NOT TOYS),184,0.57
3,child nursery equipment and supplies,BABY BOTTLES OR NIPPLES,1554,0.32
4,child nursery equipment and supplies,BABY BOUNCER SEATS (EXCL. JUMPERS),1534,0.06
5,child nursery equipment and supplies,BABY CARRIAGES,384,0.36
6,child nursery equipment and supplies,BABY CARRIERS (BICYCLE-MOUNTED),125,0.0
7,child nursery equipment and supplies,"BABY CARRIERS, NOT SPECIFIED",1165,0.11
8,child nursery equipment and supplies,BABY CHANGING TABLES,3378,0.14
9,child nursery equipment and supplies,BABY EXERCISERS,102,0.0
10,child nursery equipment and supplies,BABY GATES OR BARRIERS,8698,0.1
11,child nursery equipment and supplies,BABY HARNESSES,99,0.0
12,child nursery equipment and supplies,BABY MATTRESSES OR PADS,220,0.0
13,child nursery equipment and supplies,BABY RATTLES,148,0.67
14,child nursery equipment and supplies,BABY STROLLERS,12747,0.09
15,child nursery equipment and supplies,BABY WALKERS OR JUMPERS,2839,0.06
16,child nursery equipment and supplies,BASSINETS OR CRADLES,2084,0.11
17,child nursery equipment and supplies,BOOK BAGS OR BACK CARRIERS (EXCL. BABY C,13796,0.08
18,child nursery equipment and supplies,BOTTLE WARMERS,99,0.4
19,child nursery equipment and supplies,CAR SEATS (FOR INFANTS OR CHILDREN),5916,0.16
20,child nursery equipment and supplies,CRIB MOBILES OR CRIB GYMS,52,0.0
21,child nursery equipment and supplies,DIAPER FASTENERS,46,0.0
22,child nursery equipment and supplies,DIAPER PAILS,15,0.0
23,child nursery equipment and supplies,DIAPERS,3984,0.14
24,child nursery equipment and supplies,"DOLLIES, HANDTRUCKS OR LUGGAGE CARRIERS",4539,0.14
25,child nursery equipment and supplies,HIGH CHAIRS,9715,0.09
26,child nursery equipment and supplies,"INFANT&TODDLER PLAY CTRS,EXCL JUMPERS,BO",991,0.11
27,child nursery equipment and supplies,NONBABY MATTRESSES,2220,0.17
28,child nursery equipment and supplies,OTHER BABY CARRIERS,414,0.31
29,child nursery equipment and supplies,PACIFIERS OR TEETHING RINGS,1031,0.07
30,child nursery equipment and supplies,PLAYPENS,3610,0.08
31,child nursery equipment and supplies,PORTABLE BABY SWINGS (FOR HOME USE),883,0.05
32,child nursery equipment and supplies,PORTABLE CRIBS,229,0.0
33,child nursery equipment and supplies,POTTY CHAIRS OR TRAINING SEATS,299,0.0
34,child nursery equipment and supplies,SHOELACE FASTENERS (FOR INFANTS),49,0.0
35,child nursery equipment and supplies,TODDLER BEDS,711,0.09
36,cleaning equipment and chemicals,ABRASIVE CLEANERS,644,0.1
37,cleaning equipment and chemicals,"AMMONIA, HOUSEHOLD",1051,0.08
38,cleaning equipment and chemicals,"AUTOMOTIVE WAXES, POLISHES OR CLEANERS",373,0.17
39,cleaning equipment and chemicals,BLEACHERS,14555,0.08
40,cleaning equipment and chemicals,BLEACHES (NONCOSMETIC),12473,0.13
41,cleaning equipment and chemicals,BUCKETS OR PAILS,14442,0.21
42,cleaning equipment and chemicals,CAUSTICS,141,0.8
43,cleaning equipment and chemicals,"DETERGENTS, NOT SPECIFIED",2121,0.09
44,cleaning equipment and chemicals,DRAIN CLEANERS,1721,0.24
45,cleaning equipment and chemicals,FLOOR BUFFERS OR WAXERS,52,0.0
46,cleaning equipment and chemicals,FLOOR WAXES,626,0.11
47,cleaning equipment and chemicals,GENERAL PURPOSE HOUSEHOLD CLEANERS,11332,0.14
48,cleaning equipment and chemicals,LAUNDRY SOAPS OR DETERGENTS,15814,0.06
49,cleaning equipment and chemicals,LUNCH BOXES OR PAILS,673,0.25
50,cleaning equipment and chemicals,MANUAL CLEANING EQUIPMENT (EXCL. BUCKETS,27589,0.22
51,cleaning equipment and chemicals,"METAL POLISHES, TARNISH REMOVERS OR PREV",101,0.0
52,cleaning equipment and chemicals,PINE OIL CLEANING AND DISINFECTANT PREPA,733,0.44
53,cleaning equipment and chemicals,"POLISHES, NOT SPECIFIED",28,0.0
54,cleaning equipment and chemicals,SHOE POLISHES,40,0.0
55,cleaning equipment and chemicals,SOAPS (EXCL. LAUNDRY SOAPS OR DETERGENTS,21126,0.06
56,cleaning equipment and chemicals,SPOT REMOVERS OR CLEANING FLUIDS,320,0.22
57,cleaning equipment and chemicals,WALLPAPER CLEANERS (CHEMICAL),101,0.0
58,clothing apparel and accessories,"ARCHERY (ACTIVITY, APPAREL OR EQUIPMENT)",3342,0.41
59,clothing apparel and accessories,"BADMINTON (ACTIVITY, APPAREL OR EQUIPMEN",2713,0.03
60,clothing apparel and accessories,"BOWLING (ACTIVITY, APPAREL OR EQUIPMENT)",13105,0.06
61,clothing apparel and accessories,"BOXING (ACTIVITY, APPAREL OR EQUIPMENT)",20845,0.02
62,clothing apparel and accessories,"CHEERLEADING (ACTIVITY, APPAREL OR EQUIP",27777,0.05
63,clothing apparel and accessories,CLOTHING ACCESSORIES,21241,0.35
64,clothing apparel and accessories,"CLOTHING, NOT SPECIFIED",30698,0.41
65,clothing apparel and accessories,COSTUMES OR MASKS,1172,0.11
66,clothing apparel and accessories,"CROQUET (ACTIVITY, APPAREL OR EQUIPMENT)",163,0.5
67,clothing apparel and accessories,"CURLING (ACTIVITY, APPAREL OR EQUIPMENT)",26,0.0
68,clothing apparel and accessories,"DANCING (ACTIVITY, APPAREL OR EQUIPMENT)",54879,0.09
69,clothing apparel and accessories,DAY WEAR,109812,0.36
70,clothing apparel and accessories,"FENCING (ACTIVITY, APPAREL OR EQUIPMENT)",869,0.12
71,clothing apparel and accessories,"FIELD HOCKEY (ACTIVITY, APPAREL OR EQUIP",3310,0.02
72,clothing apparel and accessories,FOOTWEAR,208038,0.25
73,clothing apparel and accessories,"GOLF (ACTIVITY, APPAREL OR EQUIPMENT)",45008,0.39
74,clothing apparel and accessories,HATCHETS OR AXES,9596,0.15
75,clothing apparel and accessories,"HOCKEY (ACTIVITY, APPAREL OR EQUIPMENT),",18023,0.05
76,clothing apparel and accessories,"HORSEBACK RIDING (ACTIVITY, APPAREL, EQ)",38941,0.43
77,clothing apparel and accessories,"HORSESHOES (ACTIVITY, APPAREL OR EQUIPME",263,0.0
78,clothing apparel and accessories,"ICE HOCKEY (ACTIVITY, APPAREL OR EQUIPME",21412,0.08
79,clothing apparel and accessories,"ICE OR SNOW BOATING (ACTIVITY, APPAREL O",109,0.0
80,clothing apparel and accessories,"ICE SKATING (ACTIVITY, APPAREL OR EQUIPM",24507,0.12
81,clothing apparel and accessories,"IN-LINE SKATING (ACTIVITY, APPAREL, EQ.)",9980,0.11
82,clothing apparel and accessories,JEWELRY,126212,0.04
83,clothing apparel and accessories,"LACROSSE (ACTIVITY, APPAREL OR EQUIPMENT",15306,0.07
84,clothing apparel and accessories,"MARTIAL ARTS (ACTIVITY, APPAREL OR EQUIP",35395,0.07
85,clothing apparel and accessories,"MOUNTAIN CLIMBING (ACTIVITY, APPAREL OR",6904,0.28
86,clothing apparel and accessories,NIGHTWEAR,5770,0.46
87,clothing apparel and accessories,OTHER CLOTHING,624,0.15
88,clothing apparel and accessories,"ROLLER HOCKEY (ACTIVITY, APPAREL, EQUIP.",428,0.0
89,clothing apparel and accessories,"ROLLER SKATING (ACTIVITY, APPAREL OR EQU",28406,0.11
90,clothing apparel and accessories,"SCUBA DIVING (ACTIVITY, APPAREL OR EQUIP",1749,0.32
91,clothing apparel and accessories,"SHUFFLEBOARD (ACTIVITY, APPAREL OR EQUIP",109,0.0
92,clothing apparel and accessories,"SKATING (ACTIVITY, APPAREL OR EQUIPMENT)",6373,0.07
93,clothing apparel and accessories,"SKEET SHOOTING (ACTIVITY, APPAREL OR EQU",703,0.55
94,clothing apparel and accessories,"SNOW TUBING (ACTIVITY, APPAREL OR EQUIPM",1308,0.22
95,clothing apparel and accessories,"SNOWMOBILES (ACTIVITY, APPAREL OR EQUIPM",6205,0.31
96,clothing apparel and accessories,"SOCCER (ACTIVITY, APPAREL OR EQUIP.)",255825,0.07
97,clothing apparel and accessories,"STREET HOCKEY (ACTIVITY, APPAREL OR EQUI",746,0.15
98,clothing apparel and accessories,"TENNIS (ACTIVITY, APPAREL OR EQUIPMENT)",18834,0.26
99,clothing apparel and accessories,"TIE RACKS, BELT RACKS OR OTHER CLOTHES H",3421,0.17
100,clothing apparel and accessories,"TRACK & FIELD (ACTIVITY, APPAREL OR EQUI",31465,0.13
101,clothing apparel and accessories,WATCHES,1730,0.38
102,clothing apparel and accessories,"WATER POLO (ACTIVITY, APPAREL OR EQUIPME",804,0.08
103,clothing apparel and accessories,"WATER TUBING (ACTIVITY, APPAREL OR EQUIP",5559,0.12
104,clothing apparel and accessories,"WRESTLING (ACTIVITY, APPAREL OR EQUIPMEN",54969,0.09
105,furniture and furnishings,BEACH CHAIRS OR FOLDING CHAIRS,8696,0.2
106,furniture and furnishings,BED RAILS,6569,0.37
107,furniture and furnishings,"BEDDING, NOT SPECIFIED",1086,0.35
108,furniture and furnishings,"BEDS OR BEDFRAMES, OTHER OR NOT SPEC",731255,0.49
109,furniture and furnishings,"BEDSPREADS, THROWS OR COMFORTERS",1554,0.57
110,furniture and furnishings,BENCH OR TABLE SAWS,30191,0.74
111,furniture and furnishings,BUNK BEDS,32880,0.16
112,furniture and furnishings,CABINET OR DOOR HARDWARE,26919,0.22
113,furniture and furnishings,"CABINETS, RACKS, ROOM DIVIDERS AND SHELV",157013,0.19
114,furniture and furnishings,"CHAIRS, OTHER OR NOT SPECIFIED",345334,0.4
115,furniture and furnishings,"CONVERTIBLE BEDS, HIDEAWAY BEDS OR SOFA",571,0.0
116,furniture and furnishings,DESK SUPPLIES,9447,0.1
117,furniture and furnishings,"DESKS, CHESTS, BUREAUS OR BUFFETS",113293,0.24
118,furniture and furnishings,"DRAPERIES, CURTAINS, SHOWER CURTAINS(FAB",7359,0.37
119,furniture and furnishings,"DRAPERY OR CURTAIN RODS, HOOKS OR RINGS",3256,0.14
120,furniture and furnishings,"DRUGS OR MEDICATIONS, NOT SPECIFIED",181,0.29
121,furniture and furnishings,"FLOOR OR TABLE LAMPS, ELECTRIC EXCL HALO",7203,0.23
122,furniture and furnishings,"FLOOR OR TABLE LAMPS, HALOGEN",134,0.5
123,furniture and furnishings,"FOOTSTOOLS, OTTOMANS OR HASSOCKS",6517,0.18
124,furniture and furnishings,FURNITURE POLISHES OR WAXES,455,0.25
125,furniture and furnishings,"FURNITURE, NOT SPECIFIED",73049,0.22
126,furniture and furnishings,FUTONS,1471,0.2
127,furniture and furnishings,INFLATABLE FURNITURE,3030,0.18
128,furniture and furnishings,INFLATABLE TOYS,659,0.38
129,furniture and furnishings,LIQUID DRUGS,1856,0.34
130,furniture and furnishings,"MATTRESSES, NOT SPECIFIED",16011,0.26
131,furniture and furnishings,OTHER BEDDING,646,0.86
132,furniture and furnishings,OTHER DRUGS OR MEDICATIONS,3926,0.48
133,furniture and furnishings,OTHER FURNITURE,814,0.27
134,furniture and furnishings,OTHER PORTABLE OR STATIONARY POWER TOOLS,3071,0.15
135,furniture and furnishings,PORTABLE CIRCULAR POWER SAWS,10366,0.73
136,furniture and furnishings,PORTABLE FOOD OR BEVERAGE COOLERS,6147,0.14
137,furniture and furnishings,PORTABLE POWER DRILLS AND ACCESSORIES,1281,0.26
138,furniture and furnishings,PORTABLE SWIMMING POOLS,1415,0.26
139,furniture and furnishings,RECLINER CHAIR,46355,0.65
140,furniture and furnishings,ROCKING CHAIR,5628,0.14
141,furniture and furnishings,RUG SHAMPOOERS,285,0.33
142,furniture and furnishings,"RUGBY (ACTIVITY, APPAREL OR EQUIPMENT)",9618,0.09
143,furniture and furnishings,"RUGS OR CARPETS, NOT SPECIFIED",133157,0.39
144,furniture and furnishings,"RUNNERS, THROW RUGS OR DOORMATS",20881,0.38
145,furniture and furnishings,"SOFAS, COUCHES, DAVENPORTS, DIVANS OR ST",169836,0.29
146,furniture and furnishings,TABLE LINENS,294,0.25
147,furniture and furnishings,"TABLE TENNIS (ACTIVITY, APPAREL OR EQUIP",2107,0.47
148,furniture and furnishings,"TABLES, NOT ELSEWHERE CLASSIFIED",321650,0.21
149,furniture and furnishings,TABLET OR CAPSULE DRUGS,15576,0.57
150,furniture and furnishings,TABLEWARE AND ACCESSORIES,52795,0.19
151,furniture and furnishings,TELEVISION TABLES OR STANDS,11434,0.14
152,furniture and furnishings,TOY BOXES OR CHESTS,2963,0.06
153,furniture and furnishings,WATERBEDS OR WATER PILLOWS,26,0.0
154,home entertainment and electronics,AMATEUR TWO-WAY RADIOS,59,0.0
155,home entertainment and electronics,PROJECTORS,208,0.0
156,home entertainment and electronics,RADIOS (SELF-CONTAINED UNITS),345,0.0
157,home entertainment and electronics,"RADIOS, NOT SPECIFIED",273,0.25
158,home entertainment and electronics,STEREO OR HI-FI COMPONENTS OR ACCESSORIE,16805,0.05
159,home entertainment and electronics,TELEPHONES OR TELEPHONE ACCESSORIES,35649,0.23
160,home entertainment and electronics,TELEVISIONS,17719,0.21
161,home entertainment and electronics,VIDEO PLAYERS AND RECORDERS(EXCL.CAMERAS,558,0.17
162,home structures and construction materials,AUTOMATIC DOORS OR DOOR OPENERS,1470,0.24
163,home structures and construction materials,AUTOMATIC GARAGE DOORS OR DOOR OPENERS,1553,0.39
164,home structures and construction materials,CEILINGS AND WALLS (PART OF COMPLETED ST,354611,0.22
165,home structures and construction materials,COUNTERS OR COUNTERTOPS,73992,0.27
166,home structures and construction materials,"DARTS, INDOOR USE (ACTIVITY OR EQUIP.)",177,0.57
167,home structures and construction materials,DOOR SILLS OR FRAMES,72387,0.23
168,home structures and construction materials,"DOORS, OTHER OR NOT SPECIFIED",268680,0.2
169,home structures and construction materials,DOORSTOPS,1352,0.24
170,home structures and construction materials,FLOOR FURNACES (BUILT INTO FLOOR),78,0.0
171,home structures and construction materials,FLOORS OR FLOORING MATERIALS,2702263,0.62
172,home structures and construction materials,GARAGE DOORS (EXCL. AUTOMATIC GARAGE DOO,14411,0.37
173,home structures and construction materials,"HANDRAILS, RAILINGS OR BANISTERS",51630,0.24
174,home structures and construction materials,OUTDOOR ANTENNAS (SEPARATE),426,0.75
175,home structures and construction materials,OUTDOOR AWNINGS OR SHUTTERS,1744,0.19
176,home structures and construction materials,"PORCHES, BALCONIES, OPEN-SIDE FLOORS OR",127107,0.39
177,home structures and construction materials,PULL-DOWN OR FOLDING STAIRS,790,0.46
178,home structures and construction materials,RAMPS OR LANDINGS,26348,0.37
179,home structures and construction materials,"ROOM-SIZED, WALL-TO-WALL OR OUTDOOR CARP",14866,0.24
180,home structures and construction materials,STAIRS OR STEPS,1127248,0.3
181,home structures and construction materials,STORM WINDOWS,420,0.0
182,home structures and construction materials,THERMAL OR SOUND INSULATION MATERIALS,1877,0.13
183,home structures and construction materials,WINDOW OR DOOR SECURITY BARRIERS,1145,0.4
184,home structures and construction materials,WINDOW SCREENS,852,0.59
185,home structures and construction materials,"WINDOW SHADES, VENETIAN BLINDS OR INDOOR",3031,0.31
186,home structures and construction materials,WINDOW SILLS OR FRAMES,18539,0.1
187,home structures and construction materials,"WINDOWS & WINDOW GLASS, EXCL STORM WINDO",74864,0.33
188,household appliances,AIR CONDITIONERS,13331,0.2
189,household appliances,AIR PURIFIERS,393,0.0
190,household appliances,"CLOTHES DRYERS, NOT SPECIFIED",7310,0.24
191,household appliances,CLOTHING IRONS,3184,0.1
192,household appliances,COAL OR WOOD-BURNING STOVES,2940,0.32
